"spa","Comment"
"Reina
─La Carta de Alejandro que obtuve
en mi último viaje se la he dado a mi hijo.
{NewPage}
─ A partir de ella, mi padre ha creado una
nueva carta, la de Helltrain, que debe
de estar en algún sitio de Timber.",""
"Reina
─La Carta de Helltrain que obtuve
en mi último viaje se la he dado a mi hijo.
{NewPage}
─A partir de ella, mi padre ha creado una
nueva carta, la de Fénix. Se la
he entregado a alguien allegado a
una gran personalidad de Esthar.",""
"Reina
─Las reglas de esta región, Dollet,
son las siguientes:",""
"“Abierto”",""
"“Igual”",""
"“Suma”",""
"“Mano mezclada”",""
"“Hasta la muerte”",""
"“Otro intento”",""
"“Pared”",""
"“Elemental”",""
"Reina
─Te ofrezco introducir una
nueva regla en esta región, previo
pago de 30.000 guiles.",""
"Reina
─¿Deseas introducir esta
regla en Dollet?
Sí.
No.",""
"Reina
─Aparentemente, no te acanza el dinero.",""
"Reina
─La región de Balamb es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región de Galbadia es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región de Trabia es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región de Dollet es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región de Centra es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región de F. H. es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región del espacio es el origen de la
regla de pago actualmente en uso.",""
"Reina
─La región de Esthar es el origen de la
regla de pago actualmente en uso.",""
"Reina
─Hay actividad de intercambio,
pero no mucha.",""
"Reina
─Hay un activo intercambio.",""
"Reina
─Hay un intercambio
extremadamente activo.",""
"Reina
─La regla de pago “una”
ha de propagarse a partir de esa región.",""
"Reina
─La regla de pago “diferencia”
ha de propagarse a partir de esa región.",""
"Reina
─La regla de pago “directo”
ha de propagarse a partir de esa región.",""
"Reina
─La regla de pago “todas”
ha de propagarse a partir de esa región.",""
"Reina
─Actualmente, las reglas de pago
muy arriesgadas no gozan de gran
popularidad en el mundo.
{NewPage}
─En general puede decirse que
la regla de pago “una” se
está convirtiendo en el estándar.",""
"Reina
─Esta región ya no me interesa.
He de partir en busca de otros aires.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Balamb.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Galbadia.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Trabia.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Dollet.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Centra.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Fisherman's Horizon.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a algún lugar lejano.",""
"Reina
─Esta región ya no me interesa.
He de partir rumbo a Esthar.",""
"Reina
─En esta región, Dollet,
no hay ninguna regla adicional.",""
"Dummy",""
"#dotown2a","343"
"─Cómo tarda... No hay duda, nos
hemos citado aquí frente al bar...
{NewPage}
... porque el restaurante de
siempre ha cerrado.",""
"─Mi novio es un distraído
y un atolondrado...",""
"─Pero no puedo negarlo...
¡Esa parte de él... también me gusta!",""
"─¡Hola preciosa!
¿Me has esperado mucho?",""
"─No, no, para nada...
¿Cómo estás, chato?",""
"{Squall}
─¿Hm...?
Un hueso...",""
"{Squall}
─Parece que hay algo debajo...
Me interesa.
No me interesa.",""
"¡Has obtenido una Cola de fénix!",""
"¡Has obtenido una Omnipoción!",""
"─¿Que juguemos a las cartas, dices?
Sí.
No.",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Balamb?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Galbadia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Trabia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Centra?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Dollet?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Fisherman's Horizon?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y del espacio?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Esthar?",""
"Para jugar hacen falta
5 cartas como mínimo.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"",""
"#dotown3a","345"
"─¿Te gusta mi coche?
¡Cero kilómetros! ¿Qué tal, eh?",""
"─Y no me preguntes por qué
he comprado uno nuevo...
{NewPage}
─Eso me trae
malos recuerdos.",""
"─¡Se mira pero no se toca!",""
"─Todavía no he acabado
de pagar el crédito...
{NewPage}
─Ni el del coche que
me rompieron... Snif...",""
"─¡De modo que de aquí no me muevo...
... hasta que termine de pagar...!",""
"─¡Mira qué chulo!
Le pediré a mi novio que me compre uno.",""
"─Yo lo único que hago
es mirar, mirar y mirar...",""
"─¿Qué, algún problema?",""
"Tienda
Armero
Salir",""
"─Parece que quieres jugar a las cartas.
Sí.
No.",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Balamb?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Galbadia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Trabia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Centra?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Dollet?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Fisherman's Horizon?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y del espacio?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Esthar?",""
"Para jugar hacen falta
5 cartas como mínimo.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"",""
"#doopen1a","331"
"Soldado de {Dollet}
─Se prohíbe el paso, salvo a
personal del ejército de {Galbadia}.",""
"Soldado de Dollet
─Aah... Qué modorra...",""
"Soldado de Dollet
─Se proh... híbe el paho... savo
pehonal... derehército de
Galbaaah... aauhhh...",""
"─¡Ay!
Me ha dado un calambre...",""
"{Squall}
─Se ha despistado...
¡Ahora!
No... para qué.",""
"Soldado de Dollet
─Patrulla que te patrulla, tralalá... ♫",""
"Soldado de Dollet
─¿Hm...?",""
"Soldado de Dollet
─Huy... hay alguien...",""
"Soldado de Dollet
─Bah... ¡Un perro!
Menudo susto que me ha dado.",""
"Soldado de Dollet
─ZZZZ... ZZZ...
¿Eh...? ¡Me he desmayado
del dolor!
{NewPage}
─No importa...
No ha pasado nadie.
Seguro que no.
Sin novedad en el frente.",""
"─¿Eh...?
¿Puede ser que no haya llegado?
Pero si mi chica es muy puntual...",""
"─¡Esta noche no se me escapa!
Primero una cena íntima aquí...
Y después... en el hotel... je je...",""
"─¿Qué estás mirando, eh?
¡Para que lo sepas, no estoy pensando
nada raro! ¡Vete ya!",""
"─Qué pena me dan los soldados de
{Dollet}... De guardia todo el día
bajo las órdenes de {Galbadia}.",""
"─En mis tiempos era otra cosa...
Porque yo estuve en el ejército, sabes...",""
"─Si vuelven a contratar Seeds, seguro que
nos aumentan de nuevo los impuestos.
{NewPage}
─¿Tendré que dejar mi colección
de cartas y ponerme a ahorrar?",""
"─¿Qué te parece, abuelo?
¿Volverá a atacar Galbadia?",""
"─Es posible, es posible...
Son gente codiciosa... No creo
que se conformen sólo con la torre.",""
"─Ay, abuelo... ¿qué haremos si
{Galbadia} ataca de nuevo?",""
"─Los soldados de {Dollet} no sirven
de nada... Tendremos que contratar
a Seeds como antes.",""
"─¡Pero si dicen que los Seeds
cobran mucho y hacen poco!",""
"─No pueden ser peores que los
soldados de {Dollet}... Mira a aquél,
de guardia y en la luna de Valencia...",""
"{Squall}
─¿Hm...?
Un hueso...",""
"{Squall}
─Parece que hay algo debajo.
Me interesa.
No me interesa.",""
"¡Has obtenido una Poción!",""
"¡Has obtenido una Poción X!",""
"─¿Qué tal una partidita de cartas?
Vale.
No, gracias.",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Balamb?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Galbadia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Trabia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Centra?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Dollet?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Fisherman's Horizon?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y del espacio?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Esthar?",""
"Para jugar hacen falta
5 cartas como mínimo.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"─(Dummy)",""
"#dohtl_1","318"
"─Muy buenas y distinguidas tardes.
¿Desea la distinguida comitiva habitación?
Pagar 100 guiles para pasar la noche.
No, gracias.",""
"─Un millón de gracias.
La botones los conducirá a
su distinguida habitación.",""
"─Espero que honren nuevamente nuestro
establecimiento con su distinguida visita.",""
"─Er, distinguido huésped...
No le alcanzan los guiles.",""
"─¿No le parece que habla raro
la señora de la recepción?
Sí, me lo parece.
Nada fuera de lo común.",""
"─¿No es cierto?
Es que soy nueva...
{NewPage}
─... y no sabía si sería
el estilo hotelero de hablar...
Ahora me siento más tranquila.",""
"─¿Nada fuera de lo común...?
Tal como lo pensaba...
Debe de ser el estilo hotelero de hablar.",""
"─Buenas tardes.
¿Desean reservar habitación?
Los atenderán en el mostrador.",""
"─Muchas gracias por su visita.",""
"─Muy buenas y distinguidas tardes. ¿Desea
la distinguida comitiva reservar habitación?
Los atenderán en el distinguido mostrador.",""
"─Espero que honren nuevamente nuestro
establecimiento con su distinguida visita.",""
"【ESFERA LUMINOSA】
Aquí puedes guardar la partida,
seleccionando “Guardar” en el menú.",""
"─¿Desea jugar a las cartas?
Sí
No",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Balamb?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Galbadia?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Trabia?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Centra?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Dollet?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Fisherman's Horizon?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y del espacio?",""
"─De modo que conoce reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Esthar?",""
"─¿Desea jugar a las
distinguidas cartas?
Sí.
No.",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y del distinguido Balamb?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y de la distinguida Galbadia?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y de la distinguida Trabia?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y de la distinguida Centra?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y de la distinguida Dollet?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y del distinguido F. H.?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y del distinguido espacio?",""
"─De modo que conoce distinguidas
reglas de otras distinguidas regiones.
¿Jugamos combinando las reglas
de aquí y de la distinguida Esthar?",""
"Para jugar hacen falta
5 cartas como mínimo.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"─Dummy",""
"#dohtr_1","319"
"¡Has encontrado una vieja
revista, 【Timber Maniacs】!
{Wait016}...{Wait016}...{Wait016}...{Wait016}...... ¡Te la has leído toda!",""
"#doopen2a","333"
"{Squall}
─Cómo tardan...",""
"Zell
─Qué rollo, eh.",""
"Zell
─¡Que vengan ya!",""
"Zell
─¡Quiero acción!",""
"Seifer
─¿Qué esperan los cerdos de Galbadia?",""
"Seifer
─¡Ya no aguanto más!
¿Es que hemos venido
a jugar con perros?",""
"{Squall}
─Sh... Ahí vienen.",""
"Zell
─¿Adónde van...?",""
"Zell
─¿Qué es aquella cosa en la montaña?",""
"Seifer
─¡Vamos a averiguarlo!",""
"Zell
─¡No podemos! Nuestras órdenes...",""
"Seifer
─¡Oye! ¿No eras tú el
que estaba aburrido?",""
"Zell
─¡{Squall}!",""
"{Squall}
─Haré lo que mande el jefe.",""
"Seifer
─¡Ja! ¡Lo que mande el jefe!",""
"Seifer
─A mí no me engañas... la verdad
es que tú también quieres ver sangre.",""
"{Squall}
─Es una buena oportunidad
para probar lo que he aprendido
entrenando contigo.
{NewPage}
─Gracias a ti, ahora sé cómo
enfrentarme a los que pelean
sucio.",""
"Seifer
─¡Al fin te has dado cuenta
de cuánto me debes! ¡Ja, ja!",""
"Zell
─¡Hey!
{NewPage}
─¿Se han hecho amigos, o qué?
Se ve que son de la misma calaña.",""
"Zell
─Pero dejadme que os diga algo...
Ésta no es una misión cualquiera.",""
"Zell
─¡Es un examen!
¿Qué queréis, que nos cateen?",""
"Seifer
─Vale. Tú te quedas aquí, entonces.
No quiero cobardes en mi grupo.",""
"Zell
─¿Cómoooo...?",""
"{Squall}
─Zell... No le hagas caso.",""
"{Squall}
─Oye Seifer.
Si vamos a ir, cuanto antes mejor.",""
"Seifer
─El objetivo del enemigo es aquella
{Blue}【construcción en la cima de la montaña】{White}.
Nuestra misión es estorbar sus planes.
{NewPage}
─¡En marcha!",""
"{Squall}
─¡Entendido!",""
"Zell
─¡Bah...! Entendido...",""
"#dopub_3","337"
"─Eres la segunda persona que
entra triunfante en este cuarto...
La primera... {Wait048}No, no quiero aburrirte.
{NewPage}
─“A quien a las cartas te derrote,
todo has de darle sin reproche.”
Es una antigua regla de honor
que me enorgullece respetar.
{NewPage}
─De modo que aquí tienes.
Acéptalas sin reticencias.
Son algunas viejas cartas de mi colección.",""
"¡Has obtenido 5 Cartas del álagar!",""
"¡Has obtenido 4 Cartas del mordélago!",""
"¡Has obtenido 3 Cartas del buel!",""
"¡Has obtenido 2 Cartas de la venoma!",""
"¡Has obtenido 1 Carta del cactilio!",""
"─Oye...{Wait048} No le digas al abuelo
que has sido el segundo... {Wait048}¿Vale?
{NewPage}
─...{Wait048} Por favor...
No quiero que se ponga triste, el pobre.",""
"─¿Has conseguido
alguna carta difícil?
{NewPage}
─Yo antes tenía una buena cantidad,
pero las perdí hace cinco años.",""
"─Ya deben de estar diseminadas
por todas partes...
Y está bien que así sea.
{NewPage}
─Es curiosa la naturaleza humana...
No soportamos la idea de que una
sola persona las tenga todas.",""
"─Apuesto a que tus cartas difíciles
las ganaste jugando. No creo que las hayas
obtenido luchando con monstruos.
{NewPage}
─Supongo que todo jugador
debe de tener al menos una carta difícil.",""
"{Squall}
─Hay un papel dentro de esta revista...
Lo leeré.
No me interesa.",""
"«Había oido decir que poniendo un álagar en
alcohol se obtiene un licor exquisito. Un
día me emborraché con unos amigos, y
decidimos ir a cazar uno... ¡Casi nos mata!»
{NewPage}
«Al fin logramos derribarlo e hicimos el licor.
¡Estaba mejor de lo que esperábamos!
Lástima que tenga tan mal aspecto y que
haya que arriesgarse tanto para hacerlo.»",""
"«¡Nunca he ganado tanto como hoy!
He jugado con un tal Lagu... algo.»
{NewPage}
«Es curioso. Siempre recordamos el nombre
de quien nos ha ganado, pero a quien hemos
vencido fácilmente lo olvidamos enseguida...»",""
"«El nuevo cocinero que he contratado
es muy simpático.»
{NewPage}
«Pero el otro día probé sus “raviolis
especiales” y estuve con dolor de vientre
por una semana. Nunca más.»",""
"«“El coco”... Siempre pensé que era
un nombre raro para una revista...»
{NewPage}
«... y resulta que ahora le han puesto
“Expediente F”...»
{NewPage}
«Siempre me ha gustado... Es una
publicación fuera de lo común.»
{NewPage}
«Debe de haber un número por ahí...
¿Dónde lo habré dejado?»",""
"{Squall}
─Aquí arriba hay un libro muy sucio...
Lo leeré.
No me interesa.",""
"«La conocí una tarde de primavera.
Y descubrí entonces por primera vez
el sabor de la derrota.»
{NewPage}
«A finales de verano, otro encuentro...
... y otra derrota.
Qué rival tan formidable.
Pero algún día la venceré.»
{NewPage}
«El otoño ha coloreado el bosque...
... y aún no puedo ganarla.
¿Será inútil insistir?»
{NewPage}
«La primera noche de nieve,
sin haber logrado vencerla...
... le propuse matrimonio.»
{NewPage}
«¿Quién hubiera dicho que
terminaría casado con ella...?»
{NewPage}
«¿Cómo podré llevar los
pantalones en la casa, sin
haberla vencido ni una sola vez...?»",""
"{Squall}
─Aquí abajo hay un libro algo sucio...
Lo leeré.
No me interesa.",""
"«En el otoño del segundo año nació
nuestra hija. Ah... Qué hermoso bebé.
Suerte que no salió parecida a mí.»
{NewPage}
«En la primavera del tercer año
empezó a andar.
Corría tanto por toda la casa
que nos tenía siempre en ascuas...»
{NewPage}
«A finales de verano, volvía yo de
uno de mis habituales paseos
cuando me enteré de la tragedia...»
{NewPage}
«Mi esposa se había ahogado
tratando de rescatar a nuestra hija,
que había caído al mar...»
{NewPage}
«La niña se salvó, pero creo que no
comprende la idea de la muerte.
Sinceramente... yo tampoco.»",""
"(La última anotación...
... está fechada hace cinco años.)",""
"¡Has obtenido una Poción!",""
"¡Has obtenido una Cola de fénix!",""
"¡Has obtenido una Aguja de oro!",""
"¡Has obtenido un Antídoto!",""
"¡Has obtenido una Carta del álagar!",""
"¡Has obtenido la revista “Expediente F” 2!",""
"(¿Vale por una copa en el bar Avlora...?
Hm... Caducado hace cinco años...)",""
"(¿Vale por un día de alquiler en la tienda
OK? Hm... Caducado hace cinco años...)",""
"(¿Vale por una sesión de masajes en el Día
de la Madre? Hm... Fechado hace un año...)",""
"(Hm... No hay nada en particular.)",""
"─De modo que quieres jugar a las cartas.
Sí.
No.",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Balamb?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Galbadia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Trabia?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Centra?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Dollet?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Fisherman's Horizon?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y del espacio?",""
"─Así que conoces reglas
de otras regiones.
¿Jugamos combinando las reglas
de aquí y de Esthar?",""
"Para jugar hacen falta
5 cartas como mínimo.",""
"La regla {Blue}“abierto”{White} se ha
propagado a esta región.",""
"La regla {Blue}“igual”{White} se ha
propagado a esta región.",""
"La regla {Blue}“suma”{White} se ha
propagado a esta región.",""
"La regla {Blue}“mano mezclada”{White} se ha
propagado a esta región.",""
"La regla {Blue}“hasta la muerte”{White} se ha
propagado a esta región.",""
"La regla {Blue}“otro intento”{White} se ha
propagado a esta región.",""
"La regla {Blue}“pared”{White} se ha
propagado a esta región.",""
"La regla {Blue}“elemental”{White} se ha
propagado a esta región.",""
"La regla {Blue}“abierto”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“igual”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“suma”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“mano mezclada”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“hasta la muerte”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“otro intento”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“pared”{White} ha sido
abolida en esta región.",""
"La regla {Blue}“elemental”{White} ha sido
abolida en esta región.",""
"Dummy",""
"#eaplane1","346"
"{Rinoa}...",""
"Es como alguien dijo hace tiempo...{Wait056}",""
"Me he encontrado ante muchas
encrucijadas.
{NewPage}
He elegido el camino que creía
correcto...{Wait056} Espero no haberme
equivocado.{Wait056}",""
"He seguido este camino guiado por
tu sonrisa... {Wait056}¿He hecho bien?",""
"He llegado hasta aquí...{Wait056}
¿Y ahora tengo que dejar
que te alejes de mí?",""
"─¡Oh bruja {Rinoa},
descendiente del Gran Xian!",""
"─Tus poderes mágicos son una
amenaza para el planeta.",""
"─Ven con nosotros, por favor.
Debemos neutralizar tus poderes
por el bien de todos.",""
"{Rinoa}
─De acuerdo...",""
"─Eres una bruja muy comprensiva.
¿Quieres hablar antes con tu amigo?",""
"{Rinoa}
─La compresión del tiempo...",""
"{Rinoa}
─Cuando estaba en el espacio,
otra bruja entró dentro de mí.",""
"─Era la bruja del futuro, Artemisa.{Wait056}
Su objetivo es la compresión del tiempo.",""
"{Rinoa}
─Si lo consigue, ella será
la única existencia.",""
"─Artemisa quiere utilizarme para
llevar a cabo sus planes.",""
"{Rinoa}
─¡No quiero que utilice mi cuerpo
para hacer una cosa tan terrible!",""
"{Rinoa}
─Por eso estoy dispuesta a lo que sea.",""
"─Bien, vamos.
Antes, te vamos a dar un regalo,
un brazalete Odine.",""
"─Luego nos dirigiremos al
Pabellón de la Bruja.",""
"{Squall}
─¡{Rinoa}, no vayas!",""
"{Rinoa}
─Tengo que irme.{Wait048}
No quiero que me teman...{Wait056}
No quiero que me odien.",""
"({Rinoa}...)",""
"{Rinoa}
─...{Wait048}...{Wait048}...{Wait056}
Todavía tengo tu anillo.",""
"{Squall}
─Quédatelo.",""
"{Rinoa}
─Pero...",""
"{Squall}
─Quédatelo, de verdad.",""
"(Lo ha decidido ella misma.{Wait056}
¿Qué puedo hacer yo?)",""
"#eapod1","347"
"",""
"",""
"",""
"Reina
─¡Cuánto tiempo sin vernos!
¿Quieres jugar conmigo a las cartas?
Sí.
No.",""
"Reina
─Permíteme que juegue
con las reglas de mi elección.",""
"Piet
─He perdido el trabajo...",""
"Asistente sanitario
─¿Qué vamos a hacer
a partir de ahora?",""
"─¿Quieres jugar a las cartas?
Sí.
No.",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Balamb}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Galbadia}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Trabia}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Centra}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Dollet}
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de
Fisherman's Horizon con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas del espacio 
con las nuestras?",""
"─De modo que conoces reglas de otras
regiones. ¿Por qué no jugamos
combinando las reglas de {Esthar}
con las nuestras?",""
"─¿Te gustaría jugar a las cartas?
Sí.
No.",""
"─Veo que conoces otras reglas.
De acuerdo, juguemos combinando las
reglas de {Balamb} con las nuestras.",""
"─Veo que conoces otras reglas.
De acuerdo, juguemos combinando las
las reglas de {Galbadia} con las nuestras.",""
