"ita","Comment"
"Laguna
“Eh? Cosa? Cosa?”",""
"Laguna
“Dalla mia prima pattuglia
 torno sempre a casa per di qua.”",""
"Kiros
“Questo è colpa dei folletti?”",""
"Laguna
“......forse.”",""
"#gfvill32","674"
"“Ehi ragazzi!{Wait032}
 State attenti a dove
 mettete i piedi!”",""
"“Mi raccomando di non cadere
 per guardare i fiori!”",""
"#gfvill31","673"
"“Test”",""
"#gfvill23","672"
"“Test”",""
"#gfvill22","671"
"“Test”",""
"#gfvill21","669"
"“Test”",""
"Laguna
“Ellione, adesso!”",""
"Ellione
“Adesso!”",""
"Kiros
“Avrei una semplice domanda...”",""
"Kiros
“Cosa ci fai tu qui?”",""
"Laguna
“Tutti gli uomini che lavoravano qui
 sono stati portati via dalla guerra.”
{NewPage}
“Restano solo vecchi, donne,
 bambini e Kochocobo.”",""
"Laguna
“In più, come avrai visto anche tu,
 anche i mostri entrano nel villaggio.”",""
"Laguna
“In questo villaggio, io sono
 stato accolto e curato.”",""
"Laguna
“Voglio contraccambiare.”",""
"Laguna
“Io sono l'acchiappa-mostri
 di Winhill!”",""
"Laguna
“E tu caro Kiros, sarai
 il mio aiutante.”",""
"Laguna
“Pattuglia fino all'entrata del villaggio!”
{NewPage}
“Se troviamo gente in pericolo lungo la
 strada, la aiuteremo!”",""
"“Ehi, stai proprio bene ormai.
 Pensi di ritornare nell'esercito?”",""
"Laguna
“E uccidi qualche mostro ogni tanto.”",""
"“Noi stiamo attenti ai soldati di Esthar.
 Ai mostri pensaci tu.”",""
"Laguna
“Ehi, smettetela!”",""
"“Pensi davvero che i soldati
 di Esthar verranno?”",""
"Laguna
“Sono passati 2 anni. Se fossero
 voluti venire, sarebbero già qua!”",""
"“Però non si può mai sapere. È pur sempre
 un paese governato da una strega.”",""
"“Sono qui da 2 anni ed
 è una noia mortale.”",""
"Laguna
“Sempre meglio che essere soldati
 di Esthar! Quelli rapiscono le donne!!”",""
"“Penso che cercano un sucessore
 per Adele, la dominatrice di Esthar.”
{NewPage}
“Se i soldati verranno qua di nuovo,
 questa volta toccherà a Raine e a Ellione.”",""
"Laguna
“Eh...!?
 Ma troveranno me, qui!”",""
"#gfrich1","663"
"“Test”",""
"#gfmin2","661"
"“Test”",""
"“Laguna, ormai è da un
 pezzo che ti sei rimesso.”",""
"Laguna
“Grazie a tutti voi!”",""
"“Per un giovane come te dev'essere
 noioso un piccolo paese come questo.”
{NewPage}
“Non è forse arrivato il momento
 di ritornare a Deling city?”",""
"“Bene, bene.......
 Mi son giunte all'orecchio
 voci molto strane......”
{NewPage}
“Davvero molto strane......
 Non sarete mica spie
 venute da Esthar?”",""
"#gfmin1","659"
"“Test”",""
"#gflain2","657"
"“Test”",""
"Kiros
“(Cosa succede......?)”",""
"Laguna
“(Le ragazze stanno parlando.
 Meglio farsi vedere dopo.)”",""
"Laguna
“(Ehi!)”",""
"Kiros
“(Vuoi ascoltare cosa dicono?)”",""
"Ellione
“Raine, non ti sposi
 con lo zio Laguna?”",""
"Raine
“Con quello lì?”",""
"Raine
“L'hanno portato qui che piagnucolava
 come un bambino e mi sono dovuta
 occupare di lui finora...”",""
"“Vuole fare il giornalista, ma non
 sa parlare e scrivere come si deve.”",""
"“Quando si parla di qualcosa di
 importante, cambia subito discorso.”",""
"“Russa e parla
 mentre dorme...”",""
"Ellione
“Ma Raine vuole bene
 allo zio Laguna, no?”",""
"Ellione
“Voglio che Raine, lo zio Laguna
 ed Elly stiano sempre insieme.”",""
"Raine
“Sì, però......”",""
"Raine
“Penso che lui voglia girare
 il mondo.”
{NewPage}
“Non credo possa vivere in questo
 piccolo villaggio per sempre.
 Lui è fatto così.”",""
"Raine
“Ecco, mi sono innervosita.”",""
"Ellione
“Non gli vuoi bene?”",""
"Raine
“Quanto gliene vuoi tu.”",""
"Raine
“Eh?”",""
"Laguna
“PUFF PUFF......PANT PANT...”
{NewPage}
“Siamo tornati di corsa!”",""
"Ellione
“Bentornati!”",""
"Raine
“Bentornati!”",""
"Laguna
“Rapporto sui mostri
 e le battaglie di oggi!”",""
"Laguna
“I Buchabucha e Bumbum che il
 vice-comandante Ellione odia erano {Var0}.”",""
"Laguna
“Ah, scusa, scusa! Non
 ne ho ucciso nessuno oggi.”",""
"Laguna
“Ho sterminato {Var0} mostri!”",""
"Raine
“Bene, complimenti.”",""
"Raine
“Che facciamo? Prima della prossima
 pattuglia mangiamo qualcosa?”",""
"Raine
“Aspetta in {Blue}【camera tua】{White}. Quando sarà
 pronto verrò a chiamarti.”
{NewPage}
“Sembri un po' stanco, perché non ti
 fai un riposino?”",""
"Ellione
“Mangiamo, mangiamo!
 Mangiamo insieme!”",""
"Ellione
“Mangi con noi signor Kiros?”",""
"Ellione
“Elly, Raine, zio Laguna
 e il signor Kiros!”",""
"Raine
“Oggi hanno ucciso meno di 10 mostri.
 Cosa facciamo, vice-comandante Elly?”",""
"Ellione
“Va bene lo stesso soldati!”",""
"Laguna
{NewPage}
“Grazie Elly!”
{NewPage}
“Le parole di incoraggiamento del
 vice-comandante mi danno forza!”",""
"Raine“Per oggi va bene, signori!
 Buon lavoro!”",""
"Ellione
“Rapporto al comandante!”",""
"Raine
“Vediamo......
 Il tuo debito è sceso a...”
{NewPage}
“......{Var0} guil.”",""
"Raine“Di questo passo
 non ce la farai mai!!”",""
"Kiros“Hai debiti?”",""
"Raine
“Lui era ferito.”
{NewPage}
“Abbiamo dovuto chiamare un dottore
 da Deling city e pagare le medicazioni.”
{NewPage}
“Gli abitanti di qui hanno fatto
 una colletta per pagare il medico.”",""
"Raine
“Tolte 10 guil dalla paga di oggi...”",""
"Raine
“Dacci dentro Laguna!”",""
"Ellione
“Forza zio Laguna!”",""
"Kiros
“......Hai debiti?”",""
"Raine
“Lui era ferito.”
{NewPage}
“Abbiamo dovuto chiamare un dottore
 da Deling city e pagare le medicazioni.”
{NewPage}
“Gli abitanti di qui hanno fatto
 una colletta per pagare il medico.”",""
"Kiros
“Capisco.”",""
"Kiros
“Ehi Laguna!”
{NewPage}
“Non avevi parlato di debiti, ma solo
 di ‘restituire una cortesia' ricevuta!!”",""
"Laguna
“Dipende da come vedi la cosa.”",""
"Laguna
“Secondo me è
 restituire un piacere.”",""
"Kiros
“No, no! Avere debiti è un'altra
 cosa. È tutt'altra cosa!”",""
"#gflain11","656"
"“Test”",""
"Laguna
“Ehi, quanto tempo è passato dalla
 nostra grande fuga da Centra?”",""
"Kiros
“Quella...grande fuga? Io la definirei
 più una fuga pietosa...”",""
"Raine
“Infatti.”",""
"Kiros
“È passato un anno da allora.”",""
"Laguna
“Sono stato a letto per più di
 6 mesi. Avevo le ossa a pezzi.”",""
"Raine
“E io ho dovuto badare a lui.”",""
"Kiros
“Grazie per esserti
 presa cura di Laguna.”",""
"Kiros
“Dopo un mese le mie ferite erano
 guarite e ho iniziato a cercarti.”",""
"Laguna
“Perché?”",""
"Kiros
“Ho lasciato l'esercito, era noioso.”
{NewPage}
“Senza te come buffone la vita era
 noiosa.”",""
"Laguna
“Ma senti un po'!? Guarda che da quando
 sono qui ho messo la testa a posto.”",""
"Raine
“Però ti capisco.”",""
"Kiros
“Allora, cosa vuoi chiedermi?”",""
"Laguna
“Vediamo......”",""
"(Come sta Ward?)
(Come sta Giulia?)
(Dove mi trovo?)",""
"(Come sta Ward?)
(Come sta Giulia?)
{Grey}(Dove mi trovo?){White}
(Parliamo dopo)",""
"Laguna
“Come sta Ward?”",""
"Kiros
“Anche Ward ha lasciato l'esercito.”
{NewPage}
“Fortunatamente ha trovato un
 lavoro. È sempre molto impegnato.”",""
"Laguna
“Che cosa fa?”",""
"Kiros
“Lavora alla prigione distretto-D.”",""
"Laguna
“Bene...”",""
"Laguna
“Non sembra un lavoro che fa per lui,
 ma mi fa piacere che si dia da fare.”",""
"Kiros
“La voce non gli è più ritornata.”
{NewPage}
“Però se lo guardi in faccia
 capisci quello che vuol dire.”",""
"Laguna
“G-Giulia c-come sta?”",""
"Kiros
“Uhm...”",""
"Raine
“Giulia la cantante?”",""
"Kiros
“Sì.”
{NewPage}
“Laguna ammirava Giulia e quando
 poteva, andava a vederla al club.”",""
"Laguna
“Smettila! Hai detto
 abbastanza!”",""
"Raine
“Giulia cantava al club?”",""
"Kiros
“No, all'epoca non cantava,
 suonava solo il piano.”",""
"Raine
“La prima canzone che ha cantato
 è ‘Eyes on me', vero?”",""
"Laguna
“C-Che canzone è?”",""
"Raine
“Non lo sai?”",""
"Laguna
“Non me l'hai mai fatta sentire!”",""
"Raine
“Non pensavo fossi un tipo
 che ascolta la musica tu.”
{NewPage}
“È una canzone che parla
 d'amore.....
 Mi piace molto.”",""
"Kiros
“Pare si sia sposata.”",""
"Raine
“Sì, è vero!”
{NewPage}
“Si è sposata con uno dell'esercito,
 il Colonnello Caraway mi pare.”",""
"Kiros
“Non lo so.”",""
"Raine
“L'ho letto su una rivista: l'uomo
 che amava era disperso in guerra.”
{NewPage}
“Lei soffriva molto, ma poi incontrò
 il Colonnello che seppe consolarla
 e lo sposò.”",""
"Kiros
“Non ha aspettato che il suo
 uomo tornasse dalla guerra?”",""
"Laguna
“Meglio così, chi se ne importa!”",""
"Laguna
“Basta che Giulia sia felice.
 Questa è la cosa più importante.”",""
"Laguna
“Giusto Elly?”",""
"Ellione
“Sì.”",""
"Ellione
“Lo zio Laguna e Raine sono...”",""
"Laguna
“SSSHHHH!”",""
"Laguna
“Abbiamo parlato abbastanza!”",""
"(Mi fa piacere vederti in forma)",""
"(Mah...talvolta qualche ricordo...)",""
"Laguna
“Parleremo dopo,
 è ora di lavorare!”",""
"Kiros
“Ok!”",""
"Laguna
“Allora cosa pensi di fare?
 Ti fermi un po' da noi?”",""
"Kiros
“Posso?”",""
"Raine
“Qua si lavora per mangiare.
 Se per te va bene, sei il benvenuto!”",""
"Laguna
“Sono tornati i folletti.”",""
"Kiros
“I folletti? Ah, se
 lo dici tu...”",""
"Laguna
“Il lavoro di oggi sarà divertente.”",""
"Kiros
“Si combatte?”",""
"(So che c'è qualcosa qua attorno,
 ma non so cosa sta dicendo......)",""
"(Che diavolo è questo?)",""
"#gflain1","654"
"“Test”",""
"Raine
“Hai capito Ellione?”
{NewPage}
“Ora, da brava, vai a
 giocare in camera tua.”",""
"Ellione
“(Si è arrabbiata.)”",""
"Laguna
“(Perché non hai mantenuto la
  promessa, ma vedrai che le passa.)”",""
"Raine
“Laguna, non mi passa
 proprio per niente!
 Hai capito?”",""
"Laguna
“(Si è arrabbiata.)”",""
"Ellione
“(Ci vediamo dopo.)”",""
"Raine
“Laguna, c'è un ospite.”",""
"Kiros
“Come va Laguna?”",""
"Laguna
“Kiros!!”",""
"Laguna
“È un amico dello zio, ha un
 vestito strano, ma non è cattivo.”",""
"Ellione
“(Sì)”",""
"Kiros
“Stai bene mi sembra.”",""
"Laguna
“Anche tu.”",""
"Raine
“Non vai a parlare col tuo amico?”",""
"Raine
“Ti aspetto per pranzo allora.
 Preparo qualcosa di buono!”",""
"Ellione
“Hai un vestito strano
 ma sei buono, giusto?”",""
"Ellione
“Dopo parli anche con me, vero?”",""
"#gfhtr1","652"
"“Test”",""
"#gfhtl1","650"
"“Test”",""
"“1F is the restaurant, 2F is the hotel.
  It costs (x)Gil for a room.”
(Go to restaurant.)
(...Stay at the hotel.)
(Forget it.)",""
"“The restaurant is closed.”",""
"“Please enjoy
  your stay.”",""
"“I'm sorry... That's not for me.”",""
"{Squall}
“...Re...”",""
"{Squall}
“...Ro...”",""
"“...Hehehe.”",""
"“Hehe... Wanna play, eh?”
Yes.
No.",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  Balamb rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  Galbadia rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  Trabia rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  Centra rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  Dollet rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  F.H. rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  space rule and... Hehehe?”",""
"“Hehehe... You seem to know a rule
  that's not from around here.
  Esthar rule and... Hehehe?”",""
"“Hehehe... You need 5 or more
  cards to play.”",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"“Balamb”",""
"“Galbadia”",""
"“Trabia”",""
"“Centra”",""
"“Dollet”",""
"“F.H.”",""
"“Space”",""
"“Esthar”",""
"“No option rule”",""
"#gfelone2","648"
"“Test”",""
"【Save Point】
Per salvare la situazione di gioco
scegliere ‘Salva' dal menu.",""
"“Zio Laguna, c'è un ospite.”",""
"Laguna
“Eh, un ospite per me?
 Chi sarà mai?”",""
"“Un uomo con i vestiti strani.
 Sta parlando con Raine.”",""
"Laguna
“Sono nel negozio?”",""
"“Sì, così sono venuta
 a chiamarti.”",""
"Elly
“Sono stata brava?”",""
"Laguna
“No, Elly!”",""
"Laguna
“È pericoloso venire da sola.
 E se ti attacca un mostro?”",""
"Elly
“Ma il negozio è qui di fianco!”",""
"Laguna
“È pericoloso lo stesso!”",""
"Laguna
“Elly è una bella bambina e ai
 mostri piacciono le belle bambine.”
{NewPage}
“E se ti prendono, sai cosa ti fanno?
 Ti succhiano il sangue!”",""
"Laguna
“E se succedesse questo
 lo zio piangerebbe.”",""
"Elly
“Ma no......”
{NewPage}
“Io chiamo lo zio Laguna e
 lui viene subito, vero?”",""
"Laguna
“Aspetta Elly!”",""
"Laguna
“Mi riposo un po'......”
 (Sì)
 (No)",""
"Laguna
“Ah......”",""
"Laguna
“Non serve.
 Mi sono appena alzato.”",""
"Laguna
“Sono ancora pieno di energie.”",""
"Laguna
“Quasi, quasi, mi riposo un po'.”",""
"Kiros
“Cos'hai?”",""
"Laguna
“Certe volte ho paura......”",""
"Laguna
“Paura di non svegliarmi qui,
 paura che Ellione non ci sia...”",""
"Kiros
“E che non ci sia neanche Raine?”",""
"Laguna
“Che mi succede? Non mi
 sono mai sentito così.”",""
"Laguna
“Spero di risvegliarmi
 in questa stanza!”
{NewPage}
“Voglio svegliarmi sempre
 in questo dolce letto!”",""
"Kiros
“Sei cambiato Laguna!”",""
"#gfelone1","646"
"“Test”",""
"Ellione
“Ti ho aspettato!
 Sono stata brava?”",""
"Laguna
“Sì, brava, brava!”",""
"Laguna
“Papà e mamma di Ellione, anche
 oggi Ellione ha fatto la brava.”",""
"Laguna
“Giusto?”",""
"Ellione
“Sì!”",""
"#gggate2","678"
"",""
"",""
"",""
"#ggview2","713"
"",""
"",""
"",""
"Irvine
“Io mi prendo loro due!”",""
"(Sì)
(No)",""
"(Va bene)",""
"{Squall}
“Se vuoi fare il doppio
 della fatica, fa pure.”",""
"Selphie
“Fatica?”",""
"Selphie
“Ma brutto.......!”
{NewPage}
“Pensi che non valiamo
 proprio niente, vero?”",""
"{Rinoa}
“Bene, ho capito.”",""
"{Rinoa}
“Andiamo Kinneas!”",""
"(Ma cosa......)",""
"Irvine
“Chiamatemi Irvine, ragazze.”
{NewPage}
“Sono felice di camminare fra
 2 belle ragazze come voi!”",""
"Selphie
“Kinneass, amore ♫,
 ti farò ancora più felice!”",""
"(Ma cosa ho detto di male?
 Io le donne non le capisco proprio!)",""
"Quistis
“Antipatico!”",""
"Zell
“Irvine Kinneas......
 Non mi piace per niente.”",""
"Quistis
“Andiamo {Squall}!”",""
"(......E-Ehi)",""
"Zell
“{Squall}, muoviamoci!”
{NewPage}
“Dobbiamo arrivare
 prima di loro!”",""
"(Che ragazzino!)",""
"{Squall}
“Decido io!”",""
"{Squall}
“Ok?”",""
"Irvine
“Antipatico!”",""
"Irvine
“Sei un comandante cattivo!”",""
"{Squall}
“Ho bilanciato la
 forza del gruppo.”",""
"Zell
“Ehi, mi prendo io cura di lui.”",""
"Zell
“Ti insegnerò le buone maniere!”",""
"Irvine
“Prego, prima di lei.”",""
"Zell
“Hei!”",""
"Irvine
“Scelta eccellente,
 signor capo.”",""
"(Dovremo spesso cambiarci di squadra,
 meglio controllare come si fa.)",""
"#ggkodo4","689"
"",""
"",""
"",""
"(Cosa ti succede......?)",""
"(Il tuo......corpo......)",""
"({Rinoa}......)",""
"(......!)",""
"({Rinoa}......{Wait064} Seifer......)",""
"{Squall}
“......{Rinoa}?”",""
"Quistis
“Che cos'hai {Rinoa}?”",""
"Strega Edea
“{Squall}, Quistis, Selphie.”",""
"Strega Edea
“Irvine, Zell......”",""
"Strega Edea
“Vi siete fatti grandi.
 Vi siete fatti forti.”",""
"Strega Edea
“Attendevo questo momento.
 Temevo questo momento.”",""
"Strega Edea
“È un giorno meraviglioso?
 È un giorno terribile?”",""
"Strega Edea
“Ellione, avete protetto la
 la mia Ellione!?”",""
"{Squall}
(Non so dove sia...)",""
"Quistis
“{Squall}!”",""
"Quistis
“{Rinoa}...”",""
"(Dove sono......)",""
"(Ma quando......)",""
"(Quella non è {Rinoa}!)",""
"“Seifer, fedele cavaliere della strega.
 La strega è viva......la strega ordina.”",""
"(Artemisia!?
 La strega del futuro è dentro {Rinoa}!?
 Trasferita dal corpo di Edea?)",""
"({Rinoa}, dov'è {Rinoa}?)",""
"“Trova la leggendaria Lunatic Pandora,
 la nave che riposa nel fondale marino.”
{NewPage}
“Solo allora la strega ti farà sognare
 di nuovo.”",""
"({Rinoa}! Dove sei? Rispondi!)",""
"Seifer
“Come desideri, Artemisia.”",""
"{Rinoa}
({Squall}......ho paura!)",""
"({Rinoa}!!)",""
"“Chi sei? Vattene via!”",""
"#ggroom7","707"
"",""
"",""
"",""
"“Vuoi giocare a carte?”
Sì
No",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Balamb a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Galbadia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Trabia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Centra a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Dollet a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di F.H. a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 dello spazio a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Esthar a queste?”",""
"Se non hai almeno 5 carte
non possiamo giocare",""
"Regola: {Blue}‘Carte scoperte'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Plus'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Elementale'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Carte scoperte'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Plus'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Elementale'{White}
abolita da questa zona.",""
"Ottenuto: chiave 【1】!",""
"Allievo
“Aspetta! Non sono un nemico!”
{NewPage}
“I nemici ci hanno attaccato nel mezzo
 della lezione e hanno occupato la zona.”
{NewPage}
“I soldati del Garden sono riusciti
 però a far sgomberare l'aula.”
{NewPage}
“Siete venuti a distruggere la strega?
 Tenete questo!”",""
"Allievo
“Dovrebbero esserci altri 2
 allievi da qualche parte.”
{NewPage}
“Hanno le chiavi per poter
 aprire gli edifici ai quali
 di solito non si può accedere!”",""
"#ggroom6","706"
"",""
"",""
"",""
"Ottenuto: chiave 【3】!",""
"Allieva
“Questa e' l'ultima chiave.
 Ora puoi aprire l'ascensore.”
{NewPage}
“Poi vai alla stanza della strega.
 Non perdere la concentrazione!”",""
"“Vuoi giocare a carte?”
Sì
No",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Balamb a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Galbadia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Trabia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Centra a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Dollet a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di F.H. a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 dello spazio a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Esthar a queste?”",""
"Se non hai almeno 5 carte
non possiamo giocare.",""
"Regola: {Blue}‘Carte scoperte'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Plus'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Elementale'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Carte scoperte'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Plus'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Elementale'{White}
abolita da questa zona.",""
"#gggym2","684"
"",""
"",""
"",""
"“Vuoi giocare a carte?”
Sì
No",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Balamb a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Galbadia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Trabia a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Centra a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Dollet a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di F.H. a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 dello spazio a queste?”",""
"“Conosci regole che non
 usiamo in questa zona.
 Giochiamo mescolando le regole
 di Esthar a queste?”",""
"Se non hai almeno 5 carte
non possiamo giocare",""
"Regola: {Blue}‘Carte scoperte'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Plus'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Elementale'{White}
accettata in questa zona.",""
"Regola: {Blue}‘Carte scoperte'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Plus'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Mano a caso'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Sudden death'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Ritenta'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Muro-coppia'{White}
abolita da questa zona.",""
"Regola: {Blue}‘Elementale'{White}
abolita da questa zona.",""
"“Non disturbare gli allenamenti!”",""
"#gggym1","683"
"",""
"",""
"",""
"#ggkodo2","688"
"",""
"",""
"",""
"Strega Edea
“Così voi sareste i leggendari SeeD?”",""
"(Ma cosa sta dicendo?)",""
"Strega Edea
“Bene, devo dire che sono
 piacevolmente impressionata.”",""
"Strega Edea
“Troppo impressionata......
 La vostra vita finisce qui.”",""
"Strega Edea
“Poveri sciocchi!”",""
"(Tu non sei nostra madre.)",""
"Strega Edea
“I SeeD sono destinati a perire!”",""
"{Squall}
“{Rinoa}!!”",""
"{Squall}
“......{Rinoa}?”",""
"Strega Edea
“{Squall}, Quistis, Selphie.”",""
"Strega Edea
“Irvine, Zell.”",""
"Strega Edea
“......Vi siete fatti grandi.
 ......Vi siete fatti forti.”",""
"Strega Edea
“Attendevo questo momento.
 Temevo questo momento.”",""
"Strega Edea
“Oggi è un giorno meraviglioso?
 Oggi è un giorno terribile?”",""
"Strega Edea
“Ellione!?
 Avete protetto la mia Ellione!?”",""
"{Squall}
“......Non so dov'è.”",""
"Quistis
“{Squall}!”",""
"(......{Rinoa}?
 Come sta {Rinoa}?)",""
"#ggroad9a","700"
"Aperto",""
"Chiuso【1】",""
"Chiuso【2】",""
"Chiuso【3】",""
"«I SeeD del Garden di {Balamb}
 attendano nella {Blue}【sala d'attesa 2°piano】{White}»",""
"“La {Blue}【sala d'attesa 2°piano】{White} non è qui.
 Ritornare all'entrata ed andare a destra.”",""
"“Mi è stato detto che la strega è
 in grado di plagiare la gente, è vero?”",""
"‘Ofelia continuava a correre in cerca
 del proprio amore, giorno dopo giorno'",""
"“Non posso fermarmi.
 Devo continuare......”",""
"“Questa zona è off-limit.”",""
"“Attendete  nella
 {Blue}【sala d'attesa 2°piano】{White}.”",""
"#ggroad9b","701"
"",""
"",""
"",""
"#ggroad8b","698"
"",""
"",""
"",""
"#ggroad8a","697"
"Aperto",""
"Chiuso【1】",""
"Chiuso【2】",""
"Chiuso【3】",""
"I SeeD del Garden di {Balamb}
attendano nella {Blue}【sala d'attesa 2°piano】{White}.",""
"“Esame in corso.
 Non entrare.”",""
"“Vietato entrare.”",""
"I visitatori attendano nella
{Blue}【sala d'attesa 2°piano】{White}.",""
"#ggwitch2","715"
"",""
"",""
"",""
"Seifer
“Mi è venuta voglia di andare
 alla vecchia casetta della Madre.”",""
"{Squall}
“Taci!”",""
