"ger","Comment"
"Fischer-Knabe
“Hm? Du bist ja heute allein unterwegs.
 Es ist wegen diesen Soldaten, oder?”",""
"Alter Ladenbesitzer
“Autsch!”",""
"Alter Ladenbesitzer
“Whhhoooaaa!
 Das letzte Mal war{xba}s...das Ladenschild!!
 Und diesmal bin ich dran!?!?”",""
"Alter Ladenbesitzer
“Wenn er angeben will,
 passiert immer so etwas...”",""
"“Kabumm.”",""
"“Krrack.”",""
"Alter Ladenbesitzer
“Du willst mich wohl ruinieren!?!?!?
 Fahr hinaus, wenn du angeln willst!”",""
"Fischer-Knabe
“Komisch.
 Wieso fliegt alles nach hinten?
 Vielleicht ist das Gewicht zu schwer.”",""
"Fischer-Knabe
“Hey Alter. Ich mache doch keine
 gefährlichen Sachen......”",""
"Fischer-Knabe
“Hey, Alter!
 Ich bin ein Spätstarter. Es dauert noch
 ein bißchen, bis ich{xba}s perfekt beherrsche.”",""
"Alter Ladenbesitzer
“Spätstarter? Wohl eher ein Fehlstarter.”",""
"Alter Ladenbesitzer
“Willst du was?”",""
"Alter Ladenbesitzer
“Tss...
 Ein hoffnungsloser Fall...
 Und, was darf{xba}s sein?”",""
"Alter Ladenbesitzer
“Nun, Geschäft ist Geschäft...”",""
"Fischer-Knabe
“Hä?
 Das Gewicht ist wieder hinten gelandet.”",""
"Fischer-Knabe
“Mist!”",""
"Fischer-Knabe
“So ein Mist!
 Der Faden hat sich verwickelt.”",""
"Fischer-Knabe
“Mist!”",""
"Fischer-Knabe
“Woow!
 Das war echt cool!”",""
"Fischer-Knabe
“Wie gemein...
 Sag doch so was nicht...”",""
"Alter Ladenbesitzer
“Es wird...nichts passier...”",""
"Alter Ladenbesitzer
“So ist das also!!
 Komm mir bloß nicht damit!!”",""
"Fischer-Knabe
“Ein wenig Talent habe ich ja.
 Schaut doch her.”",""
"Fischer-Knabe
“Wie lange wollt ihr denn bleiben?.
 Fühlt euch wie zu Hause.”",""
"Fischer-Knabe
“Es wird langsam Zeit,
 daß ich meine wahren Künste zeige.”",""
"Fischer-Knabe
“Und...hopp.”",""
"“Platsch.”",""
"Fischer-Knabe
“Wo-wo-wo-wooow!
 Habt ihr gesehen!? Wooow!
 Ich hab{xba}s geschafft!!”",""
"Fischer-Knabe
“Yeeeaaahhh!
 Jetzt kann ich endlich
 zu meinem Meister!”",""
"Fischer-Knabe
“Sagt dem Meister Bescheid!”",""
"Alter Ladenbesitzer
“Glaub nicht, daß du das
 ewig mit mir treiben kannst!”",""
"Alter Ladenbesitzer
“Hoo hoo hoo hoo.”",""
"Alter Ladenbesitzer
“Denkste... hoo hoo hoo.”",""
"Alter Ladenbesitzer
“Wie?”",""
"Alter Ladenbesitzer
“......was?”",""
"Alter Ladenbesitzer
“Das ist ja auch mal interessant.”",""
"Alter Ladenbesitzer
“Wa-wa-was zum...!?”",""
"Alter Ladenbesitzer
“Laß mich runter! {Grey}Laß mich runterrr{White}!”",""
"Alter Ladenbesitzer
“Aua!”",""
"Alter Ladenbesitzer
“{Yellow}Cha cha cha cha~~{White}
     Cha...
 Es ist ja gar nichts passiert!?!?!?”",""
"Alter Ladenbesitzer
 “DU”",""
"Alter Ladenbesitzer
 “VERDAMMTER”",""
"Alter Ladenbesitzer
“{Red}AMATEUR{White}!!”",""
"Alter Ladenbesitzer
“Der Meister! Du kommst
 nur selten hier her...
 Ist etwas passiert?”",""
"Alter Fischer
“Ich möchte euch einen Freund vorstellen.”",""
"Alter Fischer
“Das hier ist mein alter Freund und Kollege.”",""
"Alter Fischer
“Er betreibt einen 【Shop】,
 oder besser gesagt...
 einen 【Trümmerhaufen】.”",""
"Alter Fischer
“Diesen da... {RedBlink}{xb4}{White}”",""
"Alter Ladenbesitzer
“Sag doch nicht so was...”",""
"Alter Fischer
“Das da drüben ist eine Rotznase.”",""
"Alter Fischer
“Auch berühmt als das 【Ärgernis von F.H.】.”",""
"Fischer-Knabe
“Sag doch nicht so was...”",""
"Alter Ladenbesitzer
“Der Alte hier ist bekannt
 als ein 【Herumtreiber】...”",""
"Alter Fischer
“Still! Halt{xba}s Maul!”",""
"Fischer-Knabe
“Er ist gemein und hinterhältig...”",""
"Fischer-Knabe
“Diesmal haben wir aber gewonnen.”",""
"Fischer-Knabe
“Mein Meister...ist einfach klasse.”",""
"Alter Ladenbesitzer
“Der Alte hier war mal ein
 hochqualifizierter Handwerker.
 Man nannte ihn 【Zenturio】.”",""
"{Squall}
“Zenturio?”",""
"Alter Ladenbesitzer
“Was denn? Kein Applaus...?”",""
"Alter Ladenbesitzer
“Ein berüchtigter Starrkopf, der
 100 Handwerker unter sich hatte.
 Ich war auch einer von denen.”",""
"Alter Ladenbesitzer
“Was? Ihr wißt nicht einmal das?
 Ursprünglich wurde 【F.H.】 nach
 den Worten des Meisters benannt.”",""
"Alter Ladenbesitzer
“Wenn wir unser Ziel in Esthar nicht
 erreichen, müssen wir es 【errichten】.
 Und darin sind wir ja Experten.”",""
"Alter Ladenbesitzer
“Die Schlagwörter waren 【Fischer】
 und 【Horizont】. So nannten wir
 den Ort 【Fisherman{xba}s Horizon】.”",""
"Alter Ladenbesitzer
“...so war es damals.”",""
"Alter Ladenbesitzer
“He, Meister!!”",""
"Alter Fischer
“Du bist ein guter Mensch...
 Aber du redest viel zu viel.”",""
"Alter Ladenbesitzer
“Hoo hoo hoo.
 Weil ich ja noch gesund bin.”",""
"Alter Fischer
“......wie ihr seht,
 bin ich ziemlich Starrköpfig.”",""
"{Squall}
“Warum 【Fischer】 und 【Horizont】?”",""
"Alter Fischer
“......!”",""
"{Squall}
“.........?
 Hat das besondere Gründe?”",""
"Alter Fischer
“Nun... weil niemand Einwände hatte.”",""
"Alter Fischer
“Damals dachte ich, daß jeder sagen würde,
 ‘Was redest du für einen Schwachsinn!'”",""
"Alter Ladenbesitzer
“Sag bloß... du dachtest dir
 damals nichts dabei...!?”",""
"Alter Fischer
 “Puuuh.”",""
"Alter Fischer
“Nun... der Name klingt doch gut?”",""
"Alter Ladenbesitzer
“......na ja,
 Die Handwerker und der andere Zenturio,
 der Bahnhofsvorsteher, haben zugestimmt.”",""
"Alter Fischer
“Ja, ich weiß......”",""
"{Squall}
“Hey... ist doch jetzt egal.
 Hauptsache, es kam was dabei raus.”",""
"Alter Ladenbesitzer
“......meinst du?”",""
"Alter Fischer
“Ein Glück daß es geklappt hat.”",""
"Alter Fischer
“Wir dachten... und bauten Waffen.
 【Denken】 allein ist nicht alles.”
Ja, das stimmt.
Ach, wirklich?",""
"Alter Fischer
“Du bist klug für dein Alter.
 Na ja, du bist ja auch mein Geselle.”",""
"(Geselle...? Seit wann denn das?)",""
"Alter Fischer
“Ab jetzt sofort.”",""
"Alter Fischer
“Ich weiß, mein Geselle...”",""
"Alter Fischer
“Du genierst dich doch wegen diesem Idioten?”",""
"Alter Ladenbesitzer
“Wa-wa-wa-waaaaas?”",""
"Alter Ladenbesitzer
“Ähm... nichs, nichts.”",""
"Alter Ladenbesitzer
“Ist schon gut.”",""
"Alter Fischer
“Das will ich auch hoffen,
 mein alter Freund.”",""
"Alter Fischer
“Ach ja, ich hab nur eine 【Bitte】.”",""
"Alter Fischer
“Erzählt es nicht dem Bahnhofsvorsteher.”",""
"Alter Fischer
“Und weg.”",""
"(...eine Predigt?)",""
"Bekanntes Gesicht 2
“Sorry für die Verspätung.”",""
"Bekanntes Gesicht 2
“Wenn du hierher kommst,
 benutz bitte den Lift.
 Es ist sonst zu gefährlich.”",""
"Alter Ladenbesitzer
“Du bist ohne den Lift hierher gekommen?
 Wow, du bist ja noch ziemlich fit.”",""
"Bekanntes Gesicht 3
“Hm? Diese Typen hier...”",""
"Alter Fischer
“Hey, wenn du respektiert werden willst,
 mußt du zuerst Respekt zeigen.”",""
"Bekanntes Gesicht 3
“Oh!
 Entschuldigung!”",""
"Alter Fischer
“Ich fühle mich hier am wohlsten.”",""
"Alter Fischer
“...den Streit von eben
 hab ich doch gewonnen?”",""
"Alter Fischer
“Nun, ich muß jetzt gehen...
 Ich werde abgeholt... was ist mit euch?”
?...abgeholt?
?...danke, aber wir kommen alleine zurecht.",""
"Alter Fischer
“Gleich...ist es soweit.”",""
"Alter Fischer
“Bis dann.”",""
"Fischer-Knabe
“Heute...
 weht ein guter Wind.”",""
"Fischer-Knabe
“Der Wind ist schwer.”",""
"Fischer-Knabe
“Der Wind gefällt mir nicht.
 Da ist was im Gange.”",""
"Alter Ladenbesitzer
“Sorgt euch nicht um den Alten...
 ...was darf{xba}s denn sein?”",""
"Alter Ladenbesitzer
“Es gibt keine Rabatte!”",""
"Alter Ladenbesitzer
“Häää!?”",""
"“Hmm. Ein Kartenspiel?”
Ja
Nein",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 {Balamb}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 {Galbadia}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 {Trabia}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 {Centra}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 {Dollet}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 F.H.-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 Weltall-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind?
 Dann nehmen wir doch die
 {Esthar}-Regeln hinzu.”",""
"“Zum Spielen werden mindestens
5 Karten benötigt.”",""
"Die {Blue}【Open】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Plus】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Random-Hand】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Suddendeath】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Retry】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Wall-Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Element】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Open】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Same】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Plus】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Random-Hand】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Suddendeath】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Retry】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Wall-Same】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Element】{White}-Regel ist jetzt Out.",""
"Alter Fischer
“Ihr habt eine lange Reise vor euch.
 Hier, ein 【Abschiedsgeschenk】.”",""
"“【Final-Elixir】 erhalten!”",""
"#fhroof1","625"
"(Die Leiter führt nach unten...)
Hinuntersteigen.
Lieber nicht.",""
"“Mit dem Lift hinunterfahren?”
Ja
Nein",""
"Irvine
“Direktor Cid hat das Ok-Zeichen gegeben.
 Der Reparatur-Trupp ist jetzt im Garden.”",""
"{Squall}
“Verstanden.”",""
"Irvine
“Ach ja~.”",""
"{Squall}
“Was ist?”",""
"Irvine
“Ich... ähm...”",""
"Irvine
“Die Leute von F.H. sind
 doch alle hochqualifiziert?”",""
"Irvine
“Ich hab etwas, was ich repariert
 haben möchte. Ob es in Ordnung
 ist, wenn ich die mal frage?”",""
"(......?)",""
"{Squall}
“Wenn die Arbeiten am Garden nicht
 in Verzug geraten......warum nicht?
 Aber übertreib{xba}s nicht, Ok?”",""
"Irvine
“Na klar~. Mach ich natürlich...
 ich meine, natürlich nicht.”",""
"{Squall}
“Wieso folgst du mir?”",""
"Irvine
“Selphie ist etwas betrübt.”",""
"Irvine
“Du bist der Anführer. Es ist doch
 deine Aufgabe, sie aufzumuntern?”",""
"Irvine
“Aber du magst ja solche Geschichten nicht.”",""
"Irvine
“Ich dachte mir nur, ob ich
 da nicht nachhelfen kann.”",""
"{Squall}
“Wo ist Selphie?”",""
"Irvine
“An der {Blue}【Bühne für das Sommerfest】{White}.”",""
"Bekanntes Gesicht
“Soll{xba}s nach unten gehen?”
Ja
Nein",""
"Bekanntes Gesicht
“Geht in Ordnung.”",""
"Bekanntes Gesicht
“Kannst du einen Moment warten?
 Diese Schrottmaschine will nicht.”",""
"Bekanntes Gesicht
“Heeee~y!”",""
"Bekanntes Gesicht
“Er geeeht wieeeder!”",""
"Bekanntes Gesicht
“Willst du nach Esthar?”",""
"{Squall}
“......Esthar?”",""
"Bekanntes Gesicht
“Liegt am Ende der Schienen.
 Der berühmt-berüchtigte Staat...”",""
"Bekanntes Gesicht
“Etwa nicht? Jeder der nach F.H. kommt,
 will dort hin... deswegen dachte ich...”",""
"Bekanntes Gesicht
“Da keine Züge fahren, geht man am
 besten von F.H. zu Fuß.
 Stumpfsinnig, oder?”",""
"Bekanntes Gesicht
“Ach ja. Ihr seid ja nur hier,
 weil ihr einen Unfall hattet. Sorry.”",""
"Bekanntes Gesicht
“Ok, steigt ein.”",""
"#fhedge11","611"
"",""
"",""
"",""
"【Speicherpunkt】
Zum Sichern des Spielstandes, das
Menü öffnen und 【Speichern】 wählen.",""
"Irvine
“Hey, ihr beiden!”",""
"Irvine
“(Das sieht ja vielversprechend aus.)”",""
"Irvine
“(Da gibt{xba}s einen Ort, wo ihr beide
 eine schöne Zeit verbringen könnt.)”",""
"(Schöne Zeit...)",""
"Irvine
“(Neben der Bühne. Ich hab's reserviert.)”
{NewPage}
“(Dort wo die alte Zeitschrift liegt.
 Ihr könnt es benutzen.)”",""
"Irvine
“(Du brauchst mir nicht zu danken.)”
{NewPage}
“(Ich bin froh, wenn ich meinem
  Chef dienlich sein kann.)”",""
"(Du machst dir um mich Sorgen?)",""
"{Squall}
“Ich werde es mir anschauen.”",""
"Irvine
“Wenn ich komme, müssen wir
 uns aber abwechseln.”",""
"Irvine
“(So, jetzt muß ich aber ran...)”",""
"Selphie
“Was?”",""
"{Squall}
“Scheint wohl nicht zu klappen.”",""
"Irvine
“Ach vergiß es.”",""
"#fhbrdg1","600"
"Dummy-Textttt",""
"Bekanntes Gesicht 2
“Hmm, wenn du so höflich bist,
 weiß ich nicht was ich sagen soll.”",""
"Bekanntes Gesicht 2
“Bis dann.”",""
"Bekanntes Gesicht 2
“Hm? Ist was?”",""
"Bekanntes Gesicht 2
“Heeey, du wieder!
 Hä?
 Hast du mich vergessen?”",""
"Bekanntes Gesicht 2
“Wir haben uns am Kran getroffen.”",""
"Bekanntes Gesicht 2
“Na egal. Wir sehen uns alle ähnlich.
 Wenn du den Lift benutzen willst,
 sag mir einfach Bescheid.”",""
"Bekanntes Gesicht 2
“Ich und mein Bruder kümmern uns um den
 Lift. Du hast ihn doch oben getroffen?”",""
"Bekanntes Gesicht 2
“Es scheint, du hast nicht gewußt,
 mit wem du vorhin geredet hast.”",""
"Bekanntes Gesicht 2
“Mach dir nichts daraus. Mein
 Bruder sieht mir ziemlich ähnlich.”",""
"Bekanntes Gesicht 2
“Mit dem Lift nach oben fahren?”
Ja, bitte.
Nein, danke.",""
"Bekanntes Gesicht 2
“Willst du mit dem Lift hinauf?”
Ja~, bitte.
Nein, jetzt nicht~.",""
"(Ja, genau...)",""
"(Stimmt... oder? Ich weiß nicht recht.)",""
"{Squall}
“Sorry...”",""
"Bekanntes Gesicht 2
“Alles klar.”",""
"Bekanntes Gesicht 2
“Ok, verstanden.”",""
"Bekanntes Gesicht 2
“Ok~. Steig ein.”",""
"Bekanntes Gesicht 2
“Und ab geht die Post.”",""
"Bekanntes Gesicht 3
“Sag mal,
 bist du ein SEED?”",""
"{Squall}
“Ja.”",""
"Bekanntes Gesicht 3
“Für Geld kämpft ihr doch gegen jeden?
 Bist du eigentlich glücklich damit?”",""
"(Will er mich anmachen?)",""
"Bekanntes Gesicht 3
“Nein, nein. Ist schon gut.
 Eure Lebensweise geht mich nichts an.
 Hauptsache, ihr laßt uns in Frieden.”",""
"(...die gleiche Denkweise wie ich.
 Kein gutes Gefühl, wenn man
 es dir ins Gesicht sagt......)",""
"Bekanntes Gesicht 3
“Denk dir nichts dabei.”",""
"Bekanntes Gesicht 3
“Wieder eine Lösung durch Gewalt...”",""
"Bekanntes Gesicht 3
“......”",""
"Bekanntes Gesicht 3
“Ich frage ja nur, weil du
 anders bist. Aber warum läßt
 du dich mit 【so einem】 ein?”",""
"Irvine
“Mit 【so einem】?”",""
"Bekanntes Gesicht 3
“Diese Kampfmaschine.”",""
"Irvine
“Ein Scharfschütze ist immer alleine...”",""
"Irvine
“Der Druck dem man ausgesetzt ist.”
 Die Spannung in so einem Moment...
 Ich muß das alles überstehen.”",""
"Irvine
“【Dieser eine】 hilft mir aus der
 Misere. Jemanden wie ihn nennt
 man doch einen Freund, oder?”",""
"Bekanntes Gesicht 3
“Du bist also auch so eine Kampfmaschine...”",""
"Irvine
“Vielleicht~.”",""
"Irvine
“Und...was bist du für eine Maschine?”",""
"Bekanntes Gesicht 3
“...sorry.”",""
"Bekanntes Gesicht 2
“Puh, nein, nein
 mach dir nichts daraus.”",""
"Bekanntes Gesicht 2
“Ich weiß zwar nicht genau was,
 aber ich hab schon begriffen.
 Viel Glück.”",""
"“Ein Kartenspiel?”
Ja
Nein",""
"“Hm? Karten...?”
Ja
Nein",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 {Balamb}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 {Galbadia}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 {Trabia}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 {Centra}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 {Dollet}-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 F.H.-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 Weltall-Regeln hinzu.”",""
"“Du kennst Regeln, die
 hier nicht üblich sind.
 Gut. Wir nehmen die
 {Esthar}-Regeln hinzu.”",""
"“Zum Spielen werden mindestens
5 Karten benötigt.”",""
"Die {Blue}【Open】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Plus】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Random-Hand】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Suddendeath】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Retry】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Wall-Same】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Element】{White}-Regel hat sich
hier verbreitet.",""
"Die {Blue}【Open】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Same】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Plus】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Random-Hand】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Suddendeath】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Retry】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Wall-Same】{White}-Regel ist jetzt Out.",""
"Die {Blue}【Element】{White}-Regel ist jetzt Out.",""
"Bekanntes Gesicht 3
“Hey! Irvine, mein Kumpel!”",""
"(Kumpel?)",""
"Bekanntes Gesicht 3
“Ich werde auch etwas anfangen...
 Ich wäre kein Mann, wenn niemand
 etwas an mir auszusetzen hätte.”",""
"Bekanntes Gesicht 3
“Ich bin der neue 【Wanderhändler】.
 Ich habe noch nicht viel auf
 Lager. Wie wär{xba}s mit 【Munition】?
 Du benutzt sie doch oft?”",""
"(Irgendwie kann er mich nicht leiden.)",""
"#fhtown23","629"
"Galbadia-Soldat
“Wir werden dann
 die Stadt abfackeln.”",""
"Dobe
“Wirklich!
 Wir kennen keine Ellione!!”",""
"Galbadia-Soldat
“Wie auch immer, die Stadt
 wird niedergebrannt.
 Befehl von Edea.”",""
"Dobe
“Bitte nicht!”",""
"Galbadia-Soldat
“Willst du als erster sterben?”",""
"Galbadia-Soldat
“Wer seid ihr?”",""
"{Squall}
“Wir sind die SEEDS.”",""
"Galbadia-Soldat
“Hey! Hier sind SEEDS!
 Holt das Eisen-Krad!!”",""
"{Squall}
“Es tut uns Leid, aber wir kennen
 leider keine andere Methoden.”",""
"{Rinoa}
“{Squall}!!”",""
"Xell
“{Squall}!!”",""
"Irvine
“{Squall}!!”",""
"Quistis
“{Squall}!!”",""
"Dobe
“............”",""
"{Rinoa}
“Was ist das?”",""
"Xell
“Paß auf!”",""
"Irvine
“Irgendwas kommt auf uns zu...?”",""
"Quistis
“Da kommt etwas riesiges...”",""
"{Rinoa}
“Hi. Lange nicht mehr gesehen.”",""
"{Squall}
“Hi.”",""
"{Rinoa}
“Ich hab dich vermißt.”",""
"{Rinoa}
“In der Raketenbasis dachte ich,
 daß ich sterben würde.”",""
"{Rinoa}
“Dann...mußte ich
 an dich denken.”",""
"(......)
 (An mich......?)
 (Ich auch.)
 (Ich auch... denke ich.)",""
"{Squall}
“Warum an mich?”",""
"{Rinoa}
“Na, warum wohl?”",""
"{Squall}
“Ich habe auch{Wait016}...{Wait016}...{Wait016}an dich gedacht.”",""
"{Rinoa}
“{Squall}......”",""
"{Rinoa}
“Ich faß es nicht, daß du
 mir das ins Gesicht sagst!”",""
"{Squall}
“Ich habe auch{Wait032}...{Wait016}...{Wait016}an dich
 gedacht......nehme ich mal an...”",""
"{Rinoa}
“‘Nimmst du an'?”",""
"{Rinoa}
“Na gut. Laß ich auch gelten.”",""
"{Rinoa}
“Du sagtest doch eben...
 ‘Gut, daß ihr es geschafft habt',”",""
"(Ja und?)",""
"{Rinoa}
“Das paßt gar nicht zu dir...
 aber{Wait016}...{Wait016}...{Wait016}ich finde das nett.”",""
"(Das ist...)
 (weil ich die Verantwortung trage.)
 (weil ich das wirklich gedacht habe.)
 (nur so dahergesagt.)",""
"{Squall}
“Ich trage ja die Verantwortung,
 weil ich sie hingeschickt habe.”",""
"{Rinoa}
“Ist das alles?”",""
"(Was soll da noch sein?)",""
"{Rinoa}
“Ich bin trotzdem froh.”
{NewPage}
“Niemandem ist etwas passiert,
 und du bist deine Sorgen los.”",""
"{Squall}
“Mir war eben danach.
{Wait016}...{Wait016}...{Wait016}was dagegen?”",""
"{Rinoa}
“So meinte ich das nicht!”
{NewPage}
“Du warst doch um deine
 Freunde besorgt, oder?”",""
"(So kann man{xba}s auch sehen.)",""
"{Rinoa}
“Ähm... {Squall}...
 Hättest du das auch...”",""
"(Ob ich das auch gesagt hätte,
 wenn du dabei gewesen wärst?)",""
"{Squall}
“Das weiß ich nicht.
 Du warst ja nicht dort.”",""
"{Rinoa}
“Oh? {Wait032}Woher wußtest du,
 was ich fragen wollte?”",""
"(...war ja unschwer zu erraten.)",""
"{Rinoa}
“Das macht mich wieder glücklich.”",""
"(Jetzt übertreib nicht...)",""
"{Squall}
“Das war nur so dahergesagt.”",""
"{Rinoa}
“Wirklich? Mehr nicht?”",""
"{Squall}
“Was erwartest du denn?”",""
"{Rinoa}
“Hm......
 Etwas mehr Gefühl?”",""
"(Laß mich doch in Ruhe.)",""
"{Rinoa}
“Ach ja.”",""
"{Rinoa}
“Es ist schon Ok.
 Du bist eben ein Dickkopf.”",""
"(...was dagegen?)",""
"{Rinoa}
“Du hast doch eben
 ‘was dagegen?' gedacht?”",""
"{Rinoa}
“Na ja. Bis dann, {Squall}!”",""
"#fhtown22","628"
"(......)",""
"{Rinoa}
“Wir müssen etwas unternehmen.”",""
"Xell
“Er ist zwar ein Arsch,
 aber wir müssen ihm helfen.”",""
"Irvine
“Sollen wir ihm helfen? Das wird
 ihm aber bestimmt nicht gefallen.”",""
"Quistis
“Vielleicht will er auch gar
 nicht, daß wir ihm helfen.”",""
"(Wenn die Galbadianer es nur auf
 den Garden abgesehen haben, hat
 der Alte nichts zu befürchten...)",""
"(Worüber reden sie gerade...?)",""
"Dobe
“Wie oft muß ich das noch sagen?”
{NewPage}
“In dieser Stadt gibt es kein
 Mädchen das Ellione heißt.”",""
"(Ellione!?)",""
"(Soll ich langsam...?)
 (Einschreiten!)
 (...abwarten.)",""
"{Rinoa}
“Na klar, {Squall}!”",""
"Xell
“Ich wußte es, {Squall}!”",""
"Irvine
“Ok, Ok!”",""
"Quistis
“Ich dachte schon,
 du schaust nur zu!”",""
"(Edea sucht Ellione? Vielleicht
 bekommen wir noch mehr Infos.)",""
"{Rinoa}
“{Squall}!”",""
"Xell
“{Squall}!”",""
"Irvine
“{Squall}!”",""
"Quistis
“{Squall}!”",""
"{Rinoa}
“Wir müssen einschreiten!”",""
"Xell
“Wie lange willst du noch warten!?”",""
"Irvine
“Wir sollten jetzt einschreiten!”",""
"Quistis
“Laßt uns eingreifen!”",""
"(...was gibt{xba}s da groß zu überlegen?)",""
"{Rinoa}
“Wo willst du hin!?”",""
"Xell
“{Squall}, was soll das!?”",""
"Irvine
“Das ist die falsche Richtung!”",""
"Quistis
“Wo willst du hin!?”",""
"Dobe
“............”",""
"Dobe
“Ihr habt mir das Leben gerettet.”",""
"{Squall}
“War es Ihnen unangenehm?”",""
"Dobe
“Das habe ich nicht gesagt.
 Aber ich sage auch nicht danke.”",""
"{Squall}
“Wir wollen keinen Dank.
 Nur......”",""
"(Nur...was?
 Was will ich überhaupt?)
 (Daß er uns versteht.)
 (Vergiß es. Das bringt nichts.)",""
"{Squall}
“...daß Sie uns verstehen.”
{NewPage}
“Wir sind kein Haufen von
 blutrünstigen Killern.”",""
"Dobe
“Aha?”",""
"(Ich hasse solche Gespräche...
 Was sage ich ihm...?)
 (Ich laß es doch lieber.)
 (Ich versuch{xba}s einfach.)",""
"{Squall}
“...das  war alles.
 Wir werden jetzt verschwinden.”",""
"{Squall}
“Ich weiß nicht, wie ich es
 sagen soll... aber...”",""
"{Squall}
“Wenn wir durch Gespräche alle
 Probleme lösen könnten......”
{NewPage}
“......wären wir die letzten,
 die was dagegen hätten.”",""
"{Squall}
“Aber man braucht sehr viel Zeit,
 um den anderen zu überzeugen.”",""
"{Squall}
“Erst recht, wenn sich der
 Gegner dagegen sträubt.”
{NewPage}
“Mit solchen Leuten
 Gespräche zu führen...”
{NewPage}
“...erfordert sehr viel
 Zeit und Energie.”",""
"{Squall}
“Daher......”
{NewPage}
“Damit Menschen wie Sie
 Gespräche führen können...”",""
"{Squall}
“......sind auch Menschen
 wie wir notwendig.”",""
"{Squall}
“Es gibt viele Menschen,
 {Wait016}die für Sie kämpfen.”
{NewPage}
“Denken Sie immer daran.”",""
"(Wir beide haben wahrscheinlich
 komplett verschiedene Grundsätze.)",""
"(Reden bringt wohl nichts...)",""
"Dobe
“War das alles?”",""
"{Squall}
“Wir werden so schnell wie
 möglich von F.H. verschwinden.”",""
"Dobe
“......verstehe.”",""
"Mann
“Katzen sind niedlich......
 Denkst du nicht auch?”
 Doch.
 Ich hasse Katzen.",""
"Mann
“Katzen sind wirklich niedlich.”
{NewPage}
“Ich habe 256 Katzen bei mir
 zu Hause.”
{NewPage}
“Komisch... irgendwie kann ich
 nur bis 256 zählen......”",""
"{Squall}
“..................”",""
"Irvine
“..................”",""
"Mann
“Hm. Schade...”
{NewPage}
“Ich dachte, daß wir uns
 blendend verstehen würden...”",""
