"eng","Comment"
"{Squall}
“Is this a real Moomba?”",""
"Grease Monkey
“No way, Jose.  You guys went to
 Shumi Village, huh?  Did you meet
 the guy who made that Moomba doll?”",""
"Grease Monkey
“That doll reacts to the presence of
 people who went to Shumi village.”",""
"Irvine
“Say, I remember now.  So like, this is the
 thing that beat up that Galbadian officer.”",""
"Grease Monkey
“Yeah.”",""
"Grease Monkey
“High tech, ain't it?
 I'm a pretty good craftsman, myself,
 but that thing's way out of my league.”",""
"Grease Monkey
“This isn't your everyday repair shop.
 What do you want me to repair?
 Your head?  Your personality?
 I'll give you a great deal.”",""
"Grease Monkey
“You took those guys to school, man!
 Man, that felt good!
 I'm gonna collect that junk later.”",""
"Grease Monkey
“Stop by the {Blue}【Shumi Village】{White} if you
 get a chance.  It's a pretty cool place.”",""
"Grease Monkey
“All that stuff there, I got
 from this guy in Shumi village.”",""
"Grease Monkey
“We're both artisans and share a lot
 in common, so we get along real good.”",""
"Grease Monkey
“It's been dead here since those soldiers
 left.  Maybe I should go take a trip to
 {Blue}【Shumi Village】{White} or somethin'.”",""
"Grease Monkey
“Yeah...lot's goin' on, eh?”",""
"Galbadian Officer
“Just fix it!  Can't you at least
 do that, moron!?”",""
"Galbadian Officer
“Come on,
 just do it.”",""
"“Huh!?”",""
"Galbadian Officer
“Shut up...”",""
"Galbadian Officer
“!?”",""
"Galbadian Officer
“SeeD!”",""
"Galbadian Officer
“Oh...it's just you?”",""
"{Squall}
“...What are you doing here?”",""
"Irvine
“What are you up to?”",""
"Galbadian Officer
“...Heh heh.”",""
"Galbadian Officer
“I'm asking him to repair the
 Iron Clad that you busted.”",""
"Galbadian Officer
“I was gonna get the Iron Clad fixed,
 but it doesn't matter anymore.
 I'm gonna take you out right here.”",""
"{Squall}
(Why bother fixing that
 piece of junk?  Foolish.)",""
"Irvine
(Oh, man.  He's really pissed off.)",""
"Irvine
(...This is not good.)",""
"Galbadian Officer
“Heh heh heh.  You're dead meat.”",""
"Galbadian Officer
“You're not goin' anywhere
 'til I wring your neck.”",""
"{Squall}
(Yeah, yeah.)",""
"Irvine
(He sounds serious...)",""
"{Squall}
(Get this thing over with.)",""
"Irvine
(Better make a run for it.)",""
"{Squall}
“Hey, step outside.”",""
"Irvine
“Well, it was good seeing you!”",""
"Irvine
“Bye now!”",""
"Galbadian Officer
“What!!!?”",""
"Galbadian Officer
“All right, tough guy!
 Let's settle this!!!”",""
"Galbadian Officer
“Where do you think you're going!?
 {RedBlink}Step outside!  Right now!{White}”",""
"Irvine
“Oh, come on, man.  Give me a break.
 I'm really tired.”",""
"Grease Monkey
“Yo, can you help me out, here!?
 This guy won't stop botherin' me!”",""
"Grease Monkey
“You gonna be all right?”",""
"Galbadian Officer
“{Grey}I'm not afraid of you...{White}”",""
"Galbadian Officer
“{RedBlink}I told you to step outside!{White}”",""
"Grease Monkey
“...He escaped through the window.
 He said 2 on 1 weren't fair.”",""
"Grease Monkey
“Thanks, man.  Here, take this.”",""
"Grease Monkey
“Oh, I got somethin' for you.  Here.”",""
"“Received [Mega Phoenix]!”",""
"“Received [Phoenix Down]!”",""
"“Received [Fast Ammo]!”",""
"“Received [AP Ammo]!”",""
"“Received [Pulse Ammo]!”",""
"Irvine
“Oh...it's not the ‘Mega' type...”",""
"Grease Monkey
“Stop by any time.”",""
"Grease Monkey
“Well, I'll be seeing ya.”",""
"Grease Monkey
“...He escaped through the window.
 He said watch your back.”",""
"Grease Monkey
“Ahh, he was nothing.”",""
"Galbadian Officer
“{Grey}Ugh...{White}”",""
"Galbadian Officer
“{Grey}......{White}”",""
"Irvine
“Wow!  How did you beat him?”",""
"Irvine
“Oh?  Still here...?”",""
"Irvine
“Oh?  Him again...?”",""
"Irvine
“!?”",""
"“How about a game?”
Yes
No",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Balamb's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Trabia's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Centra's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Dollet's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 FH's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Lunar's rules and ours.”",""
"“Hey, I never heard
 of that rule.
 Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"Found an old issue of [Timber Maniacs]!
{Wait016}... {Wait016}... {Wait016}... {Wait016}...... You finished reading it!",""
"#fhfish1","613"
"“The master fisherman's motions
 are all temporary.  They're not connected.”",""
"“The master fisherman's motions
 are all temporary.",""
"Master Fisherman
“Boy, it's a slow day.”",""
"Master Fisherman
“Come on.  Give me a big one.”",""
"Master Fisherman
“How 'bout a fat tuna.”",""
"Master Fisherman
“An amberjack would be nice, too.”",""
"Master Fisherman
“What...what, what's happening!?”",""
"{Squall}
“......”",""
"Master Fisherman
“What do you want?”",""
"Master Fisherman
“Oh yeah, do me a favor, boy.”",""
"Master Fisherman
“Will you look at this?  Lot of the places I've
 been fishin' for years, all gone.  Terrible.”
I'm sorry... It's our fault
...What are you talking about?",""
"Master Fisherman
“Oh yeah... Well,
 don't worry about it, boy.”",""
"Master Fisherman
“{Grey}Darn near killed me...{White}”",""
"Master Fisherman
“Just kiddin'!”",""
"Master Fisherman
“I'm just kiddin', boy.”",""
"Master Fisherman
“I'm so good I can
 fish anywhere in this world.”",""
"Master Fisherman
“I'm not a master for nothin'.”",""
"Master Fisherman
“Very funny boy.”",""
"Master Fisherman
“Heh heh heh. You're one helluva character.
 Hell, I feel like rewarding you.”",""
"Master Fisherman
“Take it.”",""
"Master Fisherman
“Thanks for comin' here.
 Here, let me give you this.”",""
"Received [Occult Fan III]!",""
"Master Fisherman
“Ok, back to my fishies.”",""
"{Squall}
“I'm sorry... We were responsible.”",""
"Master Fisherman
“My pupil is at the {Blue}【docks】{White}.
 Haven't spoken to him for a while.”",""
"Master Fisherman
“If you happen to go there,
 talk to that lonely twerp will ya?”",""
"Master Fisherman
“My pupil's got you running around, eh?”",""
"Master Fisherman
“That's my boy,
 heh heh heh.”",""
"{Squall}
“What, are you teasing me?”",""
"Master Fisherman
“Heh heh heh heh heh.”",""
"{Squall}
“What's so funny?”",""
"Master Fisherman
“You.
 You don't let people in, do you boy?
 Nah, you got too much pride.”",""
"{Squall}
“......Yeah, maybe.”",""
"Master Fisherman
“Heh heh... Alright, I'm sorry boy.
 I didn't mean to tease ya.”",""
"Master Fisherman
“After all, you boys are runnin'
 the show.  It's your time now.”",""
"{Squall}
“Whatever old man.
 Well, take care.”",""
"Master Fisherman
“Hold on boy.
 Spend a little time with the old man
 before you leave, will ya?”",""
"Master Fisherman
“I think I like ya.”",""
"Master Fisherman
“If you have a little time,
 meet me at the {Blue}【inn】{White}.”",""
"{Squall}
“... Why?
 What for?”",""
"Master Fisherman
“What else?  To get a lecture, boy.”",""
"{Squall}
“?”",""
"Master Fisherman
“Come on boy.”",""
"Master Fisherman
“Yeah, it's sudden and all,
 but...”",""
"Master Fisherman
“Well, you decide.”",""
"“What?  You wanna challenge me?”
Yes
No",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 FH's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“You seem to know rules
 that aren't used in this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"#fhpara11","619"
"",""
"",""
"",""
"“G...!”",""
"“{Galbadia}n soldiers!”",""
"#fhrail2","623"
"(...It's pretty far...)",""
"(Didn't think it would be this far...)",""
"(What am I doing...?)",""
"(Go to {Esthar}... Find Ellone...
 Talk to Ellone...)",""
"(But there's no guarantee that everything will
 be resolved if I talk to Ellone.)",""
"(Even so, I'm...)",""
"(I...{Wait016}...{Wait016}...{Wait048}sure have changed.)",""
"#fhwisef2","637"
"",""
"",""
"",""
"“Wanna play cards?”
Yes
No",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 FH's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"Mayor Dobe
“Please have a seat.”",""
"Mayor Dobe
“Allow me to get to the point.
 When are you leaving?”",""
"(He's not wasting any time.)",""
"{Squall}
“...We'll leave as soon as the
 Garden is capable of moving.”",""
"Mayor Dobe
“Any idea when?”",""
"{Squall}
“I'm afraid not.  We only discovered that
 our Garden is mobile a short while ago.”",""
"{Squall}
“Therefore, we don't even know how
 to move it.  We're still in the
 process of understanding everything.”",""
"Mayor Dobe
“Our technicians will assist you.  They should
 be able to repair and service everything.”
{NewPage}
“How does that sound?”",""
"(That means we'll have to let
 outsiders into the Garden.
 I can't make this decision alone.)",""
"Mayor Dobe
“Go consult with your leader
 if you don't have the authority.”",""
"{Rinoa}
“S'cuse me.
 Why do you want us to leave so bad?”",""
"Zell
“Hey, what's your problem?  How come
 you want us to leave so bad, huh?”",""
"Irvine
“Geez, we just got here.
 You must really hate strangers.”",""
"Quistis
“Well, it's obvious that you disapprove
 of us or don't like us, period.”",""
"(Please just keep your mouth shut!
 They must have their reasons.  Who cares?)",""
"Mayor Dobe
“We don't want military organizations in FH.
 You rely on force to solve problems.”
{NewPage}
“That is in direct defiance of our principles.”",""
"Flo
“We believe that any problem
 can be settled by discussion.”
{NewPage}
“If you reach a mutual understanding,
 there is no need to fight.”",""
"(No argument there.
 Trite, and dull as hell, though.)",""
"Mayor Dobe
“Violence only leads to more violence.”
{NewPage}
“We believe your presence here will attract
 violence.  That's why we want you to leave
 as soon as possible.”",""
"{Squall}
“Let's go back to Garden.”",""
"Mayor Dobe
“......”",""
"Flo
“......”",""
"#fhwisef1","636"
"",""
"",""
"",""
"#gdsand1","638"
"",""
"",""
"",""
"{Rinoa}
“Irvine, go back
 to the desert prison!”",""
"Irvine
“No, it's your father's order.
 I'm taking you back to Deling City.”",""
"Irvine
“Ouch!  Are you crazy!?”",""
"{Rinoa}
“We have to go back and help everybody!”",""
"Irvine
“They'll be fine.”
{NewPage}
“I'm sure they can get outta
 there when the time comes.”",""
"{Rinoa}
“You don't know for sure.”",""
"{Rinoa}
“{Squall} might say ‘but no one has
 ordered me to escape', and
 end up staying in there.”",""
"{Rinoa}
“We can't have that!
 We have to go help them!”",""
"{Rinoa}
“I don't care if I have
 to force you back.”",""
"Irvine
“Ow...Ow...OUCH!”",""
"Irvine
“Ok, ok... I'll go, I'll go!”",""
"#gdtrain1","642"
"Galbadian Soldier
“HEY!
 STOP!”",""
"Galbadian Soldier
“S-Stop the train!”",""
"Galbadian Soldier
“ERRAAHHHHHHHHH!!!
 C'MON!”",""
"Galbadian Soldier
“AAHHHhhhhrghh......”",""
"Zell
“Yo, {Squall}.
 Some dork's comin' after us!”",""
"Zell
“Hey, this guy's
 not bad.”",""
"Zell
“...Later, sport.”",""
"{Rinoa}
“{Squall}!
 He's coming after us!”",""
"{Rinoa}
“Sorry!”",""
"{Rinoa}
“Sorry, it's an emergency.”",""
"Quistis
“{Squall}!
 There's a soldier coming after us!”",""
"Quistis
“Oh my, just give up.”",""
"Quistis
“Gosh...hope he's alright.”",""
"Irvine
“Hey {Squall}.
 Your buddy's coming after us.”",""
"Irvine
“Pretty impressive.
 Don't hurt yourself.”",""
"Irvine
“Sorry, man.”",""
"{Squall}
“......”",""
"#gdsand3","640"
"After events,
go to Party setup menu.",""
"“SE  Horn”",""
"{Squall}
“What?”",""
"Quistis
“The sorceress is about to
 launch missiles at Garden!?”",""
"Selphie
“That's what {Rinoa}
 heard from Irvine!”",""
"{Squall}
“The only thing we can do now is go
 back to Garden as soon as possible
 and warn the students.”",""
"{Squall}
“Alright, let's get
 in the car and go.”",""
"Selphie
“They're targetting both
 Balamb and Trabia Gardens!”",""
"Irvine
“But like...what can we do?”",""
"Selphie
“We have to interfere with the launch!
 We have to stop the missiles!”",""
"Selphie
“I just transferred from
 Trabia Garden!”",""
"Selphie
“I can't just sit around
 knowing that Trabia Garden
 is in danger!”",""
"Selphie
“So {Squall}, please!”
{NewPage}
“Decide who's gonna go to the Galbadia
 Missile Base, before it's too late!”",""
"(It's easier said than done...
 What if something happens to the
 party members I choose...?)",""
"{Rinoa}
“Let's take a vote!”",""
"{Rinoa}
“{Squall} will decide on the party.
 {Squall} will return to Balamb
 because he's the leader.”
{NewPage}
“Anyone against this plan
 please raise your right hand!”",""
"{Rinoa}
“I don't mind which
 team you put me on.”",""
"(But you're an outsider?)",""
"Quistis
“You're the leader, {Squall}.
 What are the teams?”",""
"(Leader?
 I never asked to be the leader.)",""
"Irvine
“I...heard they were hitting
 Trabia first, and then Balamb.”",""
"Selphie
“Trabia... I'm sorry...
 I couldn't stop it...”
{NewPage}
“Please let everybody be all right.
 Please...”",""
"Selphie
“That was a miss...right...?”",""
"Selphie
“{Squall}, we have to report to Balamb!
 Who are you taking?”",""
"Zell
“C'mon, {Squall}!”",""
"Quistis
“You have to decide, {Squall}!”",""
"{Rinoa}
“{Squall}, think carefully now!”",""
"(I've had it up to here with this leader thing...
 Alright, alright...I'll choose.)",""
"Selphie
“I'm on the missile base infiltration team!”
{NewPage}
“I have to be!
 They launched missiles at MY Trabia!”",""
"(This team will now head for Balamb.
 The rest...to the missile base.
 Should I go with this...)
(Think it over)
(Go with it)",""
"Selphie
“{Squall}!  Hurry!!!”",""
"{Squall}
“This mission is unlike any other.
 It's not an order or a request
 from anyone...”",""
"{Squall}
“Selphie, do you have
 some kind of plan?”",""
"Selphie
“I think if we take this Galbadian
 army vehicle, we should be able to
 make it inside the base.”
{NewPage}
“But...that's about it.
 I'll have to think about
 the rest once we're inside.”",""
"Selphie
“Do you think that'd be ok?”",""
"Selphie
“I'm sorry... I mean, thanks.”",""
"Selphie
“There isn't much time!
 You better hurry to Balamb Garden!”",""
"{Squall}
“See you at Balamb Garden.”",""
"Zell
“I'll do whatever {Squall} decides!”",""
"Quistis
“This isn't just about Selphie.”",""
"Irvine
“So like...I understand how
 Selphie feels, but...”",""
"{Rinoa}
“Hm?  The missile base plan?
 You should go talk to Selphie.”",""
"Zell
“Is that sorceress for real!?”",""
"Quistis
“{Squall}, you decide.
 It's part of a leader's responsibility.”",""
"Irvine
“Oh... The soft side of me
 is coming out...”",""
"{Rinoa}
“Have you spoken to Selphie?
 Everyone's pretty much decided.”",""
"#gdsta1","641"
"{Squall}
“Let's take that train.”",""
"#gfvill24","670"
"“Oh, hello.  I've never seen you all before.
 Are you here to buy flowers?”",""
"“You see these flowers in the casks?
 I grew all of them.  Aren't they pretty?”",""
"“I'm gonna use them to make potpourri.
 Maybe liquor and sugar preserves, too.”",""
"“Oh, and I can also make medicine.
 Although it's gonna taste very bitter.”",""
"“No!
 You cheated!”",""
"“You can't get me in here.
 Nah nahnah nah nah.”",""
"“Stop it!”",""
"“Hey, we're playing shadow-stepping.  Do you
 wanna play, too?  My brother's It.  Don't let
 him step on your shadow, or you'll be It.”",""
"“Originally, we were opposed to letting
 outsiders into our village.  But I'm glad
 we hired those two guys for security.”",""
"“Before they came,
 the kids couldn't even
 play outside.”",""
"“A while back, we let a wanderer
 named Laguna live here with us.”",""
"“Everything was fine in the beginning, but
 he ended up stirring up a major disaster.”",""
"“Like I said, it was a while back,
 but the old folks are still really
 cautious with outsiders.”",""
"“I don't mind playing against strangers.
 As long as they know how to play...”
Yes
No",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 FH's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"“Balamb”",""
"“Galbadia”",""
"“Trabia”",""
"“Centra”",""
"“Dollet”",""
"“FH”",""
"“Lunar”",""
"“Esthar”",""
"“No optional rules”",""
"“I'm not playing anymore.
 I'm gonna play cards with him.”
Yes
No",""
"You need 5 or more
cards to play.",""
"“I don't know
 those rules.
 Let's play with
 Balamb's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 Trabia's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 Galbadia's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 Centra's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 Dollet's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 FH's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 Lunar's rules, too.”",""
"“I don't know
 those rules.
 Let's play with
 Esthar's rules, too.”",""
"#gfhtr1a","653"
"#gfhtl1a","651"
"“Hey, we have guests.
 Take care of 'em, will ya?”",""
"“So, you'll be staying here?”
Yes
No",""
"“You can use the room upstairs.  It's open.”",""
"“Ok.  Maybe next time.”",""
"“It's really slow here
 during the afternoon.”",""
"“The day goes by
 really fast if you
 just sit around here.”",""
"“Outsiders like you aren't really
 welcome here.”",""
"“You can stay here if you want, but
 I wouldn't stay here too long if I were you.”",""
"“You have no money.”",""
"“My husband doesn't play.
 He's so boring.”
Yes
No",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“You probably play by a
 rule not in this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"You need 5 or more
cards to play.",""
"The {Blue}“Open”{White} rule has spread
throughout this region.",""
"The {Blue}“Same”{White} rule has spread
throughout this region.",""
"The {Blue}“Plus”{White} rule has spread
throughout this region.",""
"The {Blue}“Random”{White} rule has spread
throughout this region.",""
"The {Blue}“Sudden Death”{White} rule has spread
throughout this region.",""
"The {Blue}“Retry”{White} rule has spread
throughout this region.",""
"The {Blue}“Same Wall”{White} rule has spread
throughout this region.",""
"The {Blue}“Elemental”{White} rule has spread
throughout this region.",""
"The {Blue}“Open”{White} rule was abolished
from this region.",""
"The {Blue}“Same”{White} rule was abolished
from this region.",""
"The {Blue}“Plus”{White} rule was abolished
from this region.",""
"The {Blue}“Random”{White} rule was abolished
from this region.",""
"The {Blue}“Sudden Death”{White} rule was abolished
from this region.",""
"The {Blue}“Retry”{White} rule was abolished
from this region.",""
"The {Blue}“Same Wall”{White} rule was abolished
from this region.",""
"The {Blue}“Elemental”{White} rule was abolished
from this region.",""
"“Balamb”",""
"“Galbadia”",""
"“Trabia”",""
"“Centra”",""
"“Dollet”",""
"“FH”",""
"“Lunar”",""
"“Esthar”",""
"“No optional rules”",""
"“You wish to challenge me?”
Yes
No",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Balamb's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Galbadia's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Trabia's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Centra's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Dollet's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 FH's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Lunar's rules and ours.”",""
"“You seem to know rules
 unfamiliar to this region.
 Let's play a game with
 Esthar's rules and ours.”",""
"Queen
“I am the Queen of Cards.  I travel
 all over the world to monitor and
 enforce the various card rules.”",""
"Queen
“What do you want to know?”
(This region's rules)
(The current trend of the trading rules)
(How are the rules passed on?)",""
"Queen
“Basically, each region
 has its own rules.”
{NewPage}
“The rules you're carrying
 are passed on as you travel
 to various regions.”
{NewPage}
“As for the trading rules, they gradually
 spread out from a region where the
 card game is most popular.”
{NewPage}
“Of course, this region can change constantly
 depending on your course and actions.”
{NewPage}
“Also, my presence in a region
 can change its trading rules
 at times.”",""
"Queen
“The following rules have been
 accepted in Centra.”",""
"[Open]",""
"[Same]",""
"[Plus]",""
"[Random]",""
"[Sudden Death]",""
"[Retry]",""
"[Same Wall]",""
"[Elemental]",""
"Queen
“Pay me 30,000 Gil,
 and I will pass on
 a new rule to this region.”",""
"Queen
“Do you want to pass on
 this rule to the Centra region?”
Yes
No",""
"Queen
“You don't have enough money.”",""
"Queen
“Currently, the trading rule is
 based on Balamb's rule.”",""
"Queen
“Currently, the trading rule is
 based on Galbadia's rule.”",""
"Queen
“Currently, the trading rule is
 based on Trabia's rule.”",""
"Queen
“Currently, the trading rule is
 based on Dollet's rule.”",""
"Queen
“Currently, the trading rule is
 based on Centra's rule.”",""
"Queen
“Currently, the trading rule is
 based on FH's rule.”",""
"Queen
“Currently, the trading rule is
  based on Lunar's rule.”",""
"Queen
“Currently, the trading rule is
 based on Esthar's rule.”",""
"Queen
“There is little trading
 taking place.”",""
"Queen
“There is much trading
 taking place.”",""
"Queen
“There is some trading
 taking place.”",""
"Queen
“Trading rule ‘One' will
 spread out from this region.”",""
"Queen
“Trading rule ‘Diff' will
 spread out from this region.”",""
"Queen
“Trading rule ‘Direct' will
 spread out from this region.”",""
"Queen
“Trading rule ‘All' will
 spread out from this region.”",""
"Queen
“Currently, everybody 
 in the world is avoiding
 risky card trades.”
{NewPage}
“For the most part, the level of activity
 has been moderate.  The trend is heading
 toward trading rule ‘One'.”",""
"Queen
“This region is getting boring.
 I'm going to travel to a new region.”",""
"Queen
“This region is getting boring
 I'm going to head toward Balamb.”",""
"Queen
“This region is getting boring
 I'm going to head toward Galbadia.”",""
"Queen
“This region is getting boring
 I'm going to head toward Trabia.”",""
"Queen
“This region is getting boring
 I'm going to head toward Dollet.”",""
"Queen
“This region is getting boring
 I'm going to head toward Centra.”",""
"Queen
“This region is getting boring
 I'm going to head toward FH.”",""
"Queen
“This region is getting boring
 I'm going to go somewhere far away.”",""
"Queen
“This region is getting boring
 I'm going to head toward Esthar.”",""
"Queen
“There are no additional rules
 in this Centra region.”",""
"#gfmin2a","662"
"“How are you today?
 Magnificent weather, isn't it?”",""
